starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYPYPYPBP, 0.0003198016, 15976.87, 2299.37, 250.98
YYYPYPBPBP, 0.00073800364, 15752.47, 4539.02, 211.28
YYYPBPBPBP, 0.00075692683, 14386.99, 6792.11, 195.40
YYBPBPBPBP, 0.0002911257, 11891.21, 9050.57, 189.05
BBBBBBBBBB, 0.00009412676, 0.00, 369.62, 0.00
BBBBBBBBPP, 0.00014236673, 0.00, 295.70, 11891.21
BBBBBBBBYB, 0.00061182387, 7432.01, 408.07, 0.00
BBBBBBBBYP, 0.00033650314, 7432.01, 295.70, 5324.75
BBBBBBBBBP, 0.00051769713, 0.00, 408.07, 7432.01
BBBBBBPPPP, 0.00008613187, 0.00, 221.77, 16039.67
BBBBBBPPYB, 0.00074030686, 7432.01, 1298.70, 8019.83
BBBBBBPPYP, 0.00040716882, 7432.01, 221.77, 11943.56
BBBBBBPPBP, 0.0006264135, 0.00, 310.86, 14674.77
BBBBBBYBYB, 0.0015907419, 11185.07, 751.49, 0.00
BBBBBBYBYP, 0.0017498161, 11163.31, 697.48, 4974.17
BBBBBBYBBP, 0.002692025, 7432.01, 957.02, 5012.40
BBBBBBYPYP, 0.00048119947, 11163.31, 221.77, 8718.79
BBBBBBYPBP, 0.0014806138, 7432.01, 329.91, 9492.99
BBBBBBBPBP, 0.0011389337, 0.00, 920.12, 11012.01
BBBBPPPPPP, 0.000026054893, 0.00, 16039.67, 221.77
BBBBPPPPYB, 0.0003359143, 7432.01, 10861.78, 147.85
BBBBPPPPYP, 0.00018475286, 7432.01, 8406.48, 2603.15
BBBBPPPPBP, 0.0002842352, 0.00, 15550.22, 194.05
BBBBPPYBYB, 0.0014435984, 11136.86, 1842.66, 5881.52
BBBBPPYBYP, 0.0015879584, 11170.56, 876.11, 8909.71
BBBBPPYBBP, 0.0024430128, 7432.01, 1913.92, 8854.47
BBBBPPYPYP, 0.00043668857, 11183.52, 147.85, 9667.04
BBBBPPYPBP, 0.0013436571, 7432.01, 194.05, 12378.29
BBBBPPBPBP, 0.0010335824, 0.00, 249.78, 15783.43
BBBBYBYBYB, 0.0020679643, 13521.68, 426.78, 0.00
BBBBYBYBYP, 0.0034121415, 13519.91, 558.58, 4620.10
BBBBYBYBBP, 0.0052494486, 11136.86, 1353.97, 3675.95
BBBBYBYPYP, 0.001876678, 13519.91, 194.05, 7572.77
BBBBYBYPBP, 0.005774394, 11170.56, 781.26, 7418.70
BBBBYBBPBP, 0.0044418415, 7432.01, 1664.51, 6938.11
BBBBYPYPYP, 0.00034405763, 13524.07, 147.85, 7746.00
BBBBYPYPBP, 0.0015879583, 11177.82, 194.05, 9957.04
BBBBYPBPBP, 0.0024430128, 7432.01, 276.78, 11251.49
BBBBBPBPBP, 0.001252827, 0.00, 667.14, 13284.82
BBPPPPPPPP, 0.000003940803, 0.00, 11891.21, 295.70
BBPPPPPPYB, 0.000067742716, 7432.01, 11943.56, 221.77
BBPPPPPPYP, 0.0000372585, 7432.01, 8019.83, 1298.70
BBPPPPPPBP, 0.000057320765, 0.00, 14674.77, 310.86
BBPPPPYBYB, 0.00043668854, 11126.35, 9784.53, 147.85
BBPPPPYBYP, 0.00048035744, 11000.29, 9924.43, 194.05
BBPPPPYBBP, 0.00073901145, 7432.01, 12378.29, 194.05
BBPPPPYPYP, 0.0001320983, 11136.86, 5881.52, 1842.66
BBPPPPYPBP, 0.0004064563, 7432.01, 9002.76, 1770.27
BBPPPPBPBP, 0.00031265873, 0.00, 15783.43, 249.78
BBPPYBYBYB, 0.0012511185, 13366.37, 674.30, 6416.63
BBPPYBYBYP, 0.0020643459, 13519.91, 166.33, 7968.58
BBPPYBYBBP, 0.0031759164, 11069.18, 8513.31, 120.13
BBPPYBYPYP, 0.0011353903, 13519.91, 7968.58, 166.33
BBPPYBYPBP, 0.0034935086, 11000.29, 9820.82, 166.33
BBPPYBBPBP, 0.0026873143, 7432.01, 11728.47, 166.33
BBPPYPYPYP, 0.00020815489, 13366.37, 6416.63, 674.30
BBPPYPYPBP, 0.0009607149, 10824.13, 7776.48, 1375.34
BBPPYPBPBP, 0.0014780229, 7432.01, 8909.02, 2270.00
BBPPBPBPBP, 0.0007579604, 0.00, 15976.87, 212.53
BBYBYBYBYB, 0.0013441768, 15138.87, 291.56, 0.00
BBYBYBYBYP, 0.002957189, 15147.10, 267.89, 4397.14
BBYBYBYBBP, 0.004549522, 13449.76, 707.82, 3675.95
BBYBYBYPYP, 0.002439681, 15147.10, 166.33, 6240.34
BBYBYBYPBP, 0.007506712, 13519.91, 252.24, 6868.91
BBYBYBBPBP, 0.0057743937, 11012.01, 6470.09, 92.41
BBYBYPYPYP, 0.0008945498, 15147.10, 5969.52, 138.61
BBYBYPYPBP, 0.0041286917, 13519.91, 7332.12, 138.61
BBYBYPBPBP, 0.006351833, 11000.29, 8701.71, 138.61
BBYBBPBPBP, 0.0032573505, 7432.01, 10079.90, 138.61
BBYPYPYPYP, 0.00012300062, 15045.99, 5881.52, 250.78
BBYPYPYPBP, 0.00075692683, 13081.44, 7776.48, 429.61
BBYPYPBPBP, 0.0017467544, 11185.07, 166.33, 10123.77
BBYPBPBPBP, 0.0017915427, 7432.01, 218.89, 12224.65
BBBPBPBPBP, 0.00068905496, 0.00, 15080.30, 184.81
PPPPPPPPPP, 0.00000023841858, 0.00, 0.00, 369.62
PPPPPPPPYB, 0.000005123043, 7432.01, 5324.75, 295.70
PPPPPPPPYP, 0.000002817674, 7432.01, 0.00, 408.07
PPPPPPPPBP, 0.000004334883, 0.00, 7432.01, 408.07
PPPPPPYBYB, 0.000044032764, 11163.31, 8718.79, 221.77
PPPPPPYBYP, 0.000048436046, 11163.31, 4974.17, 697.48
PPPPPPYBBP, 0.00007451699, 7432.01, 9492.99, 329.91
PPPPPPYPYP, 0.000013319913, 11185.07, 0.00, 751.49
PPPPPPYPBP, 0.000040984345, 7432.01, 5012.40, 957.02
PPPPPPBPBP, 0.000031526422, 0.00, 11183.52, 754.03
PPPPYBYBYB, 0.00018923168, 13524.07, 7746.00, 147.85
PPPPYBYBYP, 0.0003122323, 13519.91, 7572.77, 194.05
PPPPYBYBBP, 0.00048035738, 11177.82, 9957.04, 194.05
PPPPYBYPYP, 0.00017172778, 13452.51, 4758.58, 558.58
PPPPYBYPBP, 0.0005283932, 11170.56, 7720.10, 503.44
PPPPYBBPBP, 0.0004064563, 7432.01, 11251.49, 276.78
PPPPYPYPYP, 0.00003148343, 13527.17, 0.00, 415.34
PPPPYPYPBP, 0.00014530813, 11136.86, 3675.95, 1353.97
PPPPYPBPBP, 0.00022355097, 7432.01, 6938.11, 1664.51
PPPPBPBPBP, 0.00011464152, 0.00, 13518.58, 431.86
PPYBYBYBYB, 0.00040661352, 15045.99, 250.78, 5881.52
PPYBYBYBYP, 0.00089454977, 15142.46, 5424.82, 120.13
PPYBYBYBBP, 0.0013762304, 13464.16, 6805.20, 120.13
PPYBYBYPYP, 0.0007380036, 15147.10, 6240.34, 166.33
